Year,state_code,parent_metro_region,sales_price,list_prices,home_sold,total_sales,off_market_in_two_weeks
2022,AK,"Fairbanks, AK",18924857.042,17549650.0,1580.2372954000002,1194.51067356,21.415944655
2022,AL,"Ozark, AL",9029718.0765,8672003.088,2031.5909284,1557.0589562599998,9.49349308
2022,AL,"Decatur, AL",14710853.456999999,15356728.373,6993.6038849999995,6282.7666734,23.864838179
2022,AL,"Alexander City, AL",18600463.033999998,22228992.957000002,1896.5795511000001,1602.6442621,11.161999024
2022,AL,"Cullman, AL",14456472.465,14031250.000000002,3236.0375719999997,2951.1908741999996,9.187350649
2022,AL,"Dothan, AL",12094817.0,11593611.2724,6354.5317581,3472.70125358,16.672293875999998
2022,AL,"Fort Payne, AL",8854827.0999,9338300.0,1533.0284553,1687.123039,9.8267182120000012
2022,AL,"Montgomery, AL",15178005.620000001,15540463.025,21220.561520999996,18244.796483,8.055494442
2022,AL,"Selma, AL",2817800.0,2187700.0,372.0,237.0,1.510195361
2022,AL,"Atmore, AL",794000.0,1140948.5,6.0,20.0,0.666666666
2022,AL,"Daphne, AL",44233321.456,43816785.831,31118.563802,26694.842369,48.938985101
2022,AL,"Mobile, AL",15524583.678000001,14005543.0,20542.741607,7467.0723369000007,38.090572464
2022,AL,"Talladega, AL",11252380.0,9323501.8363999985,2559.6233369999995,2026.6552404299998,7.459510415
2022,AR,"Little Rock, AR",18281938.457999997,19263681.587,43956.91285,41867.52023,31.788354891
2022,AR,"Pine Bluff, AR",8085480.6325,6557911.4392,2389.9062602,2145.61721,19.348080799999998
2022,AR,"Russellville, AR",7666399.0,7230423.5174,310.0,267.0,11.477958154999998
2022,AR,"Batesville, AR",7099600.0,7601700.5401,1461.5298696900002,1234.14361145,16.287025819000004
2022,AR,"Blytheville, AR",3649443.4978,3229600.0,171.67718226,170.29702637,8.635930736
2022,AR,"Fort Smith, AR",13684131.635499999,11545050.6294,1029.53575521,977.0,24.829556169999996
2022,AR,"Harrison, AR",5411600.0,7130800.0,118.0,122.0,10.716849816
2022,AR,"Paragould, AR",9444006.5485000014,8857091.4521000013,1992.1296617999997,1892.8576797999997,18.691245178
2022,AR,"Searcy, AR",9317650.0,9499396.7832999974,3460.3103236999996,3098.5473970999997,22.619114258999996
2022,AR,"Forrest City, AR",2139750.0,1299850.0,30.0,22.0,3.0
2022,AR,"Magnolia, AR",729800.0,547800.0,4.0,4.0,0.0
2022,AZ,"Show Low, AZ",24452445.354999993,24751476.815000005,5431.104101500001,5185.5490815,29.615647118000005
2022,AZ,"Yuma, AZ",8340505.0,8160293.5,4550.0,3991.0,3.6408674790000006
2022,AZ,"Flagstaff, AZ",53094111.74400001,56991854.0,6701.8448418,6681.7376831,53.639060169000004
2022,AZ,"Payson, AZ",22060360.0,22373950.133999996,1951.1633961,1817.0,16.845242018
2022,AZ,"Nogales, AZ",18516900.0,17904810.0,2047.5913822000002,1553.4834492800003,11.872070438000002
2022,CA,"San Diego, CA",78687072.659999982,79715155.426,109751.602056,111794.159704,50.876300515000004
2022,CA,"Salinas, CA",76039150.0,74087295.762000009,9207.3956726999986,8658.9146804,25.271994047999996
2022,CA,"San Luis Obispo, CA",67340617.057,74878928.350000009,10796.436178799999,10229.5315247,49.431942329
2022,CA,"Yuba City, CA",25840951.221999995,25495614.789,7086.0,6987.0,19.752338722
2022,CA,"Ukiah, CA",33842547.0,34599774.0,1987.26316505,1043.90890872,4.918839829
2022,CA,"San Rafael, CA",116656412.103,114653490.711,10370.6806977,10527.709112600001,34.836442494
2022,CA,"Napa, CA",75808324.782,77580274.153000012,4683.1346404,4357.4927642,21.170997498000002
2022,CA,"Red Bluff, CA",18575500.0,19025450.0,2630.5367679999995,2230.8462702,8.47020837
2022,CA,"Los Angeles, CA",80207153.714,80703559.609,227136.33442999996,221762.28845,26.217651439999997
2022,CA,"Vallejo, CA",47364642.625999995,47632940.607,17788.544992000003,17697.075124000003,24.018655062999997
2022,CA,"Santa Cruz, CA",107632000.0,105338606.014,7028.9153594,6766.2580673999992,35.664008061
2022,CA,"Chico, CA",30076101.415000007,30607551.087999996,8371.0355259,7727.4637901999995,37.130568998
2022,CA,"Fresno, CA",27498777.402,27808082.802,30036.425600000002,29569.186339999997,39.965678327
2022,CA,"Merced, CA",25400755.0,25480993.0,7986.6181425,7464.5986283000011,23.826970999
2022,CO,"Denver, CO",53819882.241000012,53535312.582,191244.84136,192407.46670000002,61.812639327999996
2022,CO,"Fort Morgan, CO",19214025.0,18681450.0,1602.2492394000003,989.92107753,11.510377758999999
2022,CO,"Edwards, CO",113320696.95699999,121296534.73900001,5389.5936485000011,5083.1051437000006,41.402324828
2022,CO,"Craig, CO",11993778.1692,12139000.0,940.59037639000019,850.95131728,26.442834383000005
2022,CO,"Breckenridge, CO",105817043.484,115869736.0,5212.7386009999991,4935.9719321,25.094873264
2022,CO,"Fort Collins, CO",49963623.28899999,49548069.885000005,24016.52862,21450.651469999997,34.052798128
2022,CT,"Bridgeport, CT",52327530.24400001,51847886.263000004,47276.705131,42161.671054,23.222354510000002
2022,CT,"Torrington, CT",21221454.795,21171029.713000003,10927.896650300001,9042.6141254,20.414381841
2022,DC,"Washington, DC",53825110.959,54480091.228999987,252811.82726000002,239220.91792,39.367015961999996
2022,DE,"Dover, DE",22591286.630000006,23058226.126000002,10416.0595443,9289.0479144,40.530415547
2022,FL,"North Port, FL",41562328.102000006,43285776.166999996,83226.893183,82401.029922,57.652294808
