Year,state_code,parent_metro_region,sales_price,list_prices,home_sold,total_sales,off_market_in_two_weeks
2019,AK,"Fairbanks, AK",18285818.83,18396834.73,2013.60895,1502.520811,6.259393168
2019,AL,"Ozark, AL",6245372.746,6700626.861,1433.64434,627.6048983,7.857841338
2019,AL,"Decatur, AL",10806801.73,10512572.8,6914.252974,5209.58238,16.76769237
2019,AL,"Alexander City, AL",19169181.68,17524056.17,2377.513829,1127.586062,5.663969608
2019,AL,"Cullman, AL",9922804.313,9023105,1459.781298,678.405433,0.886506707
2019,AL,"Dothan, AL",8322919,7395013.561,3933.433411,846.5163269,9.344758434
2019,AL,"Fort Payne, AL",6569838.559,6972800,1336.315569,1133.771952,10.36932694
2019,AL,"Montgomery, AL",13802928.48,15003779.22,20299.16738,12711.25804,6.655060696
2019,AL,"Selma, AL",4249754,4875149.011,641.8919108,276,5.392857144
2019,AL,"Daphne, AL",28399378.81,29246627.03,27110.08713,12322.07415,6.612994442
2019,AL,"Mobile, AL",14798301.76,12228868,8616.895808,1704.605055,4.275268882
2019,AL,"Talladega, AL",9629030,9203793.771,2491.654452,1524.073831,9.76350198
2019,AL,"Atmore, AL",116200,98000,4,2,0
2019,AR,"Little Rock, AR",16890231.08,18683626.75,44536.15685,32498.30688,24.10666957
2019,AR,"Pine Bluff, AR",4950763.601,4752010.881,1905.807178,1407.259962,13.0103838
2019,AR,"Russellville, AR",7679475,6856904.971,659,374,0.72409247
2019,AR,"Batesville, AR",5862681,6084928.392,1440.01832,711.6707741,9.660637344
2019,AR,"Fort Smith, AR",7137702.799,7315607.877,859.5725846,471,7.205167183
2019,AR,"Harrison, AR",7881150,7665695.653,202,172,16.55018315
2019,AR,"Paragould, AR",8504648.991,8008096.476,1895.89197,1311.465478,5.709627784
2019,AR,"Searcy, AR",9441006.749,9174779.736,3130.32435,2118.159039,23.71271658
2019,AR,"Forrest City, AR",489000,388100,8,2,2
2019,AR,"Blytheville, AR",6517516.202,6415000,208.1531125,143.6516716,0
2019,AR,"Magnolia, AR",1036430,440700,12,4,0
2019,AZ,"Show Low, AZ",20128369.36,19638970.6,2377.06265,1151.987919,3.703539672
2019,AZ,"Yuma, AZ",11124214.93,11765663,10215.12485,6755.309899,2.548583319
2019,AZ,"Flagstaff, AZ",35737831.92,39483323,7675.475724,4825.266824,9.65104181
2019,AZ,"Payson, AZ",14492300,15982711.54,671.4494058,378,4.877777778
2019,AZ,"Nogales, AZ",15171111.5,16991376.58,1894.590682,1044.648811,4.271056837
2019,CA,"San Diego, CA",59778143.34,62277217.44,141883.5754,130575.0148,44.15391981
2019,CA,"Salinas, CA",62208618,64511142.6,11157.47174,8264.864191,18.57780503
2019,CA,"San Luis Obispo, CA",61758307.28,62955197.24,14584.9839,11449.00056,35.50309689
2019,CA,"Yuba City, CA",17852003.94,16169334.68,2584,479,0.502197802
